居る,い[る-
乗り合わせる,の[りあわせ]る
乗り遅れる,の[りおくれ]る
辱める,は[ずかしめ]る
話しかける,は[なしかけ]る
待ち合わせる,ま[ちあわせ]る
結び付ける,む[すびつけ]る
申し上げる,も[うしあげ]る
申し入れる,も[うしいれ]る
持ち始める,も[ちはじめ]る
焼けただれる,や[けただれ]る
勇気づける,ゆ[うきづけ]る
理論付ける,り[ろんづけ]る
言い間違える,い[いまちがえ]る
送り続ける,お[くりつづけ]る
思い浮かべる,お[もいうかべ]る
書き間違える,か[きまちがえ]る
感じ始める,か[んじはじめ]る
聞き間違える,き[きまちがえ]る
しゃべり続ける,しゃ[べりつづけ]る
取り残される,と[りのこされ]る
申し合わせる,も[うしあわせ]る
転がり始める,こ[ろがりはじめ]る
働き続ける,は[たらきつづけ]る
