する,す[る-
共有する,きょ[うゆうする-
強要する,きょ[うようする-
協力する,きょ[うりょくする-
禁煙する,き[んえんする-
緊張する,き[んちょうする-
緊迫する,き[んぱくする-
虐殺する,ぎゃ[くさつする-
虐待する,ぎゃ[くたいする-
逆転する,ぎゃ[くてんする-
凝縮する,ぎょ[うしゅくする-
行列する,ぎょ[うれつする-
空想する,く[うそうする-
経営する,け[いえいする-
計画する,け[いかくする-
経験する,け[いけんする-
軽減する,け[いげんする-
警告する,け[いこくする-
掲載する,け[いさいする-
計算する,け[いさんする-
継続する,け[いぞくする-
携帯する,け[いたいする-
軽蔑する,け[いべつする-
契約する,け[いやくする-
決行する,け[っこうする-
結婚する,け[っこんする-
結晶する,け[っしょうする-
欠席する,け[っせきする-
結束する,け[っそくする-
決定する,け[っていする-
結合する,け[つごうする-
決断する,け[つだんする-
欠乏する,け[つぼうする-
結論する,け[つろんする-
見学する,け[んがくする-
研究する,け[んきゅうする-
検索する,け[んさくする-
研修する,け[んしゅうする-
建設する,け[んせつする-
謙遜する,け[んそんする-
建造する,け[んぞうする-
建築する,け[んちくする-
検討する,け[んとうする-
見物する,け[んぶつする-
激減する,げ[きげんする-
激増する,げ[きぞうする-
減少する,げ[んしょうする-
厳選する,げ[んせんする-
現像する,げ[んぞうする-
限定する,げ[んていする-
考案する,こ[うあんする-
公演する,こ[うえんする-
講演する,こ[うえんする-
公開する,こ[うかいする-
交換する,こ[うかんする-
貢献する,こ[うけんする-
攻撃する,こ[うげきする-
公言する,こ[うげんする-
広告する,こ[うこくする-
交際する,こ[うさいする-
工作する,こ[うさくする-
耕作する,こ[うさくする-
請習する,こ[うしゅうする-
交渉する,こ[うしょうする-
更新する,こ[うしんする-
行進する,こ[うしんする-
口述する,こ[うじゅつする-
向上する,こ[うじょうする-
構成する,こ[うせいする-
構想する,こ[うそうする-
後退する,こ[うたいする-
交代する,こ[うたいする-
肯定する,こ[うていする-
行動する,こ[うどうする-
講読する,こ[うどくする-
購入する,こ[うにゅうする-
公認する,こ[うにんする-
公表する,こ[うひょうする-
興奮する,こ[うふんする-
交流する,こ[うりゅうする-
告白する,こ[くはくする-
克服する,こ[くふくする-
混在する,こ[んざいする-
婚約する,こ[んやくする-
混乱する,こ[んらんする-
合格する,ご[うかくする-
合成する,ご[うせいする-
ご馳走する,ご[ちそうする-
ご無沙汰する,ご[ぶさたする-
再会する,さ[いかいする-
再開する,さ[いかいする-
再建する,さ[いけんする-
採集する,さ[いしゅうする-
再生する,さ[いせいする-
再選する,さ[いせんする-
採択する,さ[いたくする-
採点する,さ[いてんする-
再発する,さ[いはつする-
栽培する,さ[いばいする-
採用する,さ[いようする-
削減する,さ[くげんする-
